shop_location,shop_name,lon,lat,product,sales_qty,sales_revenue
Thika,Hope Mini Market,37.055877,-1.067204,bits,7570,757000
Kibera,S.M GENERAL SHOP,36.792379,-1.312069,bits,2297,229700
Huruma,Amazing Grace Kerosene Pump,36.877813,-1.258908,bits,3872,387200
Dandora Phase 3,Smart Gas,36.906571,-1.249777,bits,5778,577800
Umoja Innercore and 1,R and K,36.890947,-1.286785,bits,9688,968800
Donholm,One stop butchery,36.889565,-1.292636,bits,2772,277200
"Embakasi (Fedha, Nyayo,Tasia)",Fei Shop At Mradi Slum,36.907776,-1.31566,bits,4144,414400
"Embakasi (Fedha, Nyayo,Tasia)",Robetec General shop,36.90169,-1.31561,bits,566,56600
"Embakasi (Fedha, Nyayo,Tasia)",Shop 360,36.911528,-1.308093,bits,3542,354200
Githurai 45,Mt Kenya Shop(Githurai 45),36.922537,-1.215014,bits,741,74100
Lucky Summer,Nevillos Investment,36.9012,-1.238628,bits,9829,982900
Kinoo,Supreme Supermarket,36.702679,-1.257242,bits,7419,741900
Thika,Testimony Shop,37.077826,-1.054281,bits,1971,197100
Mlolongo,Walk and shop supermarket,36.939646,-1.395405,bits,6686,668600
Kibera Ayany,Kibera 42,36.77358,-1.309406,bits,6683,668300
Ngando,Pedimart Supermarket & Supplies Ltd,36.73861,-1.30664,bits,6179,617900
Eastleigh,Al Nasri Shop,36.852789,-1.286328,bits,9928,992800
Kahawa West,Avenue Shop-EA,36.902049,-1.186182,bits,595,59500
Umoja 2 and 3,Kaingoni Traders,36.894723,-1.26501,bits,4485,448500
Kitengela,DM gas and Mpesa,36.966553,-1.481087,bits,8040,804000
Waithaka,Mashi minimart,36.724876,-1.29014,bits,9941,994100
Kawangware,Shawnlink Enterprises - Methonge,36.742402,-1.284197,bits,776,77600
Maringo,Hurricane Garments,36.861423,-1.293188,bits,5,500
"Embakasi (Fedha, Nyayo,Tasia)",Bahamas (C) Electronics,36.898,-1.319459,bits,1770,177000
Mwiki,Edibiqs Mini Mart,36.923695,-1.228553,bits,2205,220500
Kayole,Eighty eight auto pcea,36.913473,-1.270776,bits,3607,360700
Dandora Phase 4 & 5,Tula cyber,36.9039,-1.2439,bits,7533,753300
Ngando,Kizingo Shop (Jamhuri),36.739172,-1.302147,bits,1935,193500
Dandora Phase 1,INTERNATIONAL YOUNG TAILORS,36.892913,-1.255677,bits,9943,994300
Lucky Summer,Spot on play ground,36.898572,-1.239385,bits,3241,324100
Athi River,STAR LIGHT,36.9728,-1.4546,bits,2757,275700
Kikuyu,Bobs Bistro kwambira,36.651389,-1.217629,bits,5069,506900
Rongai,Digital makaa,36.7571,-1.3977,bits,6341,634100
Jerusalem Jericho,GATHAMBIA SHOP,36.87055,-1.28597,bits,1754,175400
Mlango Kubwa,Open blessings holdings,36.851197,-1.265445,bits,9976,997600
Kayole,Perfect mission investment,36.911102,-1.280288,bits,800,80000
Kariobangi North,Jegla Gas,36.8805,-1.2607,bits,68,6800
Thika,Brians General Shop,37.052557,-1.073286,bits,5343,534300
Mukuru kwa Njenga,NJOWAS TRADERS,36.8851,-1.3192,bits,1403,140300
Mlolongo,MG shop 3,36.944664,-1.400473,bits,8177,817700
Kahawa,Favoured Shop,36.925934,-1.198976,bits,4702,470200
Waithaka,Quick fix,36.723562,-1.289973,bits,3114,311400
Githurai 45,Magic Furnisher,36.936827,-1.208836,bits,1296,129600
Kahawa West,BEAUTIFLOW LTD,36.907463,-1.181664,bits,1285,128500
Pipeline,Muhindi Mweusi Supermarket Transami,36.896942,-1.324597,bits,6484,648400
Kawangware,Kimsmart Supermarket,36.753427,-1.286466,bits,9885,988500
Kariobangi North,Star Fashion,36.883486,-1.252726,bits,9399,939900
Pipeline,Sirdawa Investment,36.889422,-1.311937,bits,387,38700
Limuru,Jamwa Supermarket,36.666923,-1.149155,bits,4202,420200
Kibera,Western general shop,36.796079,-1.314581,bits,2464,246400
Mwihoko,Timko Agency 2,36.961505,-1.206047,bits,9995,999500
Githurai 45,God's favour shop (45),36.92238,-1.213022,bits,7187,718700
Kahawa West,Lillies Supermarket,36.906785,-1.18638,bits,3701,370100
Umoja Innercore and 1,Mama Betty mini shop,36.894299,-1.281967,bits,7251,725100
South C,Villes food limited.,36.827877,-1.31356,bits,2539,253900
Pipeline,Bluestart Glassmart And General Merchants,36.897348,-1.319298,bits,3859,385900
Kibera,Double K Beuty Shop,36.79769,-1.312348,bits,4165,416500
Thika,Kikwetu Mini Matt And Dairy,37.080131,-1.036283,bits,2302,230200
Mathare slum,Highway store,36.863018,-1.262419,bits,8873,887300
Ruiru,Dobren Enterprises,36.958298,-1.157397,bits,2467,246700
Mwiki,Johntex electronics,36.934691,-1.234749,bits,1235,123500
Lucky Summer,Rk Investment,36.889565,-1.244379,bits,5859,585900
Lucky Summer,Spot on mainstage,36.8975,-1.2398,bits,7638,763800
Pipeline,General Citizen Supermarket,36.895861,-1.318289,bits,3992,399200
Gatina,Mwireri Shop,36.75152,-1.28001,bits,1890,189000
Buruburu,The Care Beauty Salon,36.87418,-1.279283,bits,4498,449800
CBD,Muthurwa Nine Investments,36.8343,-1.2879,bits,927,92700
Marurui,Agash Investment Ltd,36.8885,-1.200013,bits,4525,452500
Kahawa West,LAQUINTA SUPERMARKET (KM),36.930603,-1.17459,bits,2446,244600
Huruma,Limbo ChapChap Store,36.87626,-1.255687,bits,1684,168400
Kariobangi South,KASA GAS SUPPLY,36.885263,-1.267297,bits,6984,698400
Thika,Everest enterprise makongeni,37.11396,-1.05793,bits,1027,102700
Mwiki,Kena enterprises,36.9309,-1.2368,bits,5804,580400
Dandora Phase 4 & 5,Grahons Enterprise,36.913562,-1.241973,bits,4055,405500
Dandora Phase 1,Kuku shop,36.89282,-1.255243,bits,9290,929000
Shauri Moyo,THE PLACE TO BE,36.847364,-1.28873,bits,5044,504400
Kitengela,Bethel Shop,36.953545,-1.475323,bits,6798,679800
Kayole,Carfex general store,36.910978,-1.287483,bits,7700,770000
Kibera Ayany,Graceline adventures,36.777108,-1.311783,bits,9893,989300
Imara Daima,Blessed cereals shop,36.890937,-1.326212,bits,87,8700
Mathare North,Junja traders,36.874215,-1.25082,bits,9621,962100
Waithaka,Maxim Enterprises,36.728027,-1.279152,bits,9339,933900
Eastleigh,Utukufu Butchery,36.850742,-1.282451,bits,3849,384900
Umoja 2 and 3,Edlink agencies,36.893516,-1.272407,bits,9923,992300
Mwiki,Jirehmart,36.922333,-1.227206,bits,93,9300
Umoja 2 and 3,GENESSIS ATM MILK,36.893471,-1.268624,bits,3521,352100
Gachie,Kings Gas,36.778441,-1.220172,bits,4133,413300
Rongai,Nel shop,36.720999,-1.373498,bits,1105,110500
Ruaraka/Baba Dogo,Oasis Minimart,36.885662,-1.24813,bits,7222,722200
Buruburu,EPIC ENERGY EFFICIENT TECHNOLOGIES LTD,36.881417,-1.287633,bits,3378,337800
Kariobangi North,Karia Supermarket 6,36.884,-1.2632,bits,4289,428900
Mathare slum,PAMOJA EXPRESS SUPERMARKET,36.86459,-1.25998,bits,2505,250500
Huruma,Irene Muthoni Njuguna shop,36.875125,-1.260785,bits,4839,483900
Kahawa West,Elidah Supermarket,36.906147,-1.184312,bits,1444,144400
Thika,Le Patron Thika,37.0789,-1.0384,bits,8261,826100
Huruma,Milestone Technology Ltd,36.869873,-1.257232,bits,9507,950700
Kaloleni,SHASHE ENTERPRISES,36.858583,-1.296482,bits,770,77000
Kikuyu,Boutique kikuyu,36.664455,-1.245543,bits,6354,635400
Kayole,Smart Gas Supply,36.914743,-1.280473,bits,691,69100
Kawangware,Solomon's Shop,36.744355,-1.285308,bits,356,35600
Huruma,GOD IS GOOD BUSINESS CENTER,36.87624,-1.25441,bits,1084,108400
Eastleigh,Fixmatt Supermarket Pumwani California,36.847004,-1.282601,bits,8165,816500
Kitengela,Mt kenya shop kitengela,36.956175,-1.472097,bits,9681,968100
Kasarani,El- Betel General Shop,36.909168,-1.219623,bits,192,19200
Buruburu,KAWASANG GAS RETAILER,36.8804,-1.2839,bits,2503,250300
Mathare North,Dc Wines And Spirit,36.872799,-1.247656,bits,6227,622700
Mathare North,Genuine Gas,36.872687,-1.248028,bits,504,50400
Buruburu,Hillocks Shop Harambee,36.87502,-1.284686,bits,7308,730800
Nairobi West,Wild style shop,36.820275,-1.307627,bits,1835,183500
Kiambu Township,Shegeh Distributors,36.840847,-1.17026,bits,6509,650900
Athi River,TWINE SHOP,36.979389,-1.448687,bits,4980,498000
Juja,Kamaham Traders (Juja),36.999372,-1.081783,bits,7194,719400
"Embakasi (Fedha, Nyayo,Tasia)",Seven Up,36.895861,-1.307285,bits,5674,567400
Riruta Satellite,Kizingo Cyber Satellite,36.735249,-1.292524,bits,1346,134600
Kibera,Human Needs Project (Kibera),36.781443,-1.314061,bits,8447,844700
Kitengela,Best home store,36.959295,-1.478168,bits,6450,645000
Ruai,Safeway's Electronics,36.972566,-1.290314,bits,7148,714800
Ruai,RSL supermarket,36.97236,-1.288129,bits,907,90700
Thika,Murime Enterprises,37.075002,-1.048719,bits,6925,692500
Kiambiu,Kamax Enterprises,36.866121,-1.28104,bits,4933,493300
Kawangware,Fraemy Supermarket,36.75179,-1.28085,bits,6454,645400
Huruma,Jose shop,36.872229,-1.257872,bits,2397,239700
Nairobi West,Nairobi West gas,36.822751,-1.307331,bits,9109,910900
Kibera,Ogare Success,36.777378,-1.313229,bits,1913,191300
Ngara,African General Store,36.829803,-1.278025,bits,9014,901400
Kayole,Afro lights electricals and hardware,36.911718,-1.276483,bits,1589,158900
Langata,Mambo Jambo Mini Mart,36.779191,-1.323359,bits,4302,430200
Ruai,Agape gas center,36.95885,-1.280463,bits,5771,577100
Ngando,Wambati Mini Market,36.744403,-1.302224,bits,5370,537000
Waithaka,Simran Investment,36.720762,-1.285075,bits,7100,710000
Kitengela,Gichuki electronics,36.959882,-1.474392,bits,5042,504200
Kayole,Gas point patanisho,36.911415,-1.27352,bits,1209,120900
Chokaa,Muhindi mweusi supermarket Chokaa,36.951565,-1.249931,bits,5570,557000
Thika,ANDAY GAS SUPPLIERS MALABA,37.075179,-1.092763,bits,619,61900
Thika,Duka la vyoo (kisii),37.125338,-1.069117,bits,3977,397700
Dandora Phase 4 & 5,Chwele Shop,36.91079,-1.243846,bits,8563,856300
Waithaka,Camnice Beauty Shop,36.726907,-1.294156,bits,2868,286800
Ruiru,King'swill Trading,36.929214,-1.152419,bits,8859,885900
Ruiru,Naina investments,36.94588,-1.150871,bits,459,45900
Shauri Moyo,Blessed General Shop (Shauri Moyo),36.844063,-1.28968,bits,7925,792500
Kangemi,Kristech enterprises,36.747577,-1.266293,bits,6473,647300
Kariobangi South,Eastlands Energy Center,36.887307,-1.26248,bits,6472,647200
Limuru,Njogu's Shop,36.64238,-1.11119,bits,4625,462500
Ruiru,Kagz shop,36.954188,-1.163578,bits,6100,610000
Umoja Innercore and 1,General shop Umoja,36.896666,-1.284839,bits,5749,574900
Nairobi West,Mumias Gas,36.819121,-1.307093,bits,3329,332900
Kibera,Frida's shop,36.77282,-1.308015,bits,4443,444300
Kayole,Meatland Butchery,36.908503,-1.279651,bits,8618,861800
Ruaka/Denderu,Nandis fashions,36.755853,-1.174637,bits,2195,219500
Kayole,Denzel Communications,36.916437,-1.266498,bits,2866,286600
Kariokor,Mukurwei-ini general shop,36.833656,-1.279981,bits,2550,255000
Thika,Ree Supermarket,37.095347,-1.072549,bits,2320,232000
Donholm,The morgans,36.905613,-1.287104,bits,2996,299600
Huruma,GLAMOROUS SHOP,36.873723,-1.256937,bits,1774,177400
Ngong,Leyfin's crunchy cafe,36.6602,-1.3496,bits,5244,524400
Dandora Phase 4 & 5,Glory Agency,36.901553,-1.249758,bits,9504,950400
Pipeline,General citizen mini market,36.894464,-1.319343,bits,9917,991700
Jerusalem Jericho,Mercyjoh Shop,36.867088,-1.285917,bits,3031,303100
Dagoretti Corner,Four Mart Supermarket,36.757908,-1.298984,bits,7416,741600
Imara Daima,Wamwea Enterprises,36.885564,-1.323086,bits,3723,372300
Uthiru,Genesis Gas Supplies (Uthiru),36.718094,-1.262259,bits,5208,520800
Pangani,Maskumatt Supermarket,36.839404,-1.267684,bits,2862,286200
Ruai,CEREALS & GENERAL SHOP,36.959689,-1.279939,bits,678,67800
Dandora Phase 4 & 5,Mecks Designers,36.905082,-1.242432,bits,2445,244500
Obama,Soko Huru saika,36.9155,-1.2532,bits,5784,578400
Githurai 45,Samtime Enterprise,36.916947,-1.208568,bits,6234,623400
Kibera,Beauty cosmetic katwekera shop,36.783021,-1.314512,bits,4347,434700
Roysambu/Mirema,Mirema Mini Mart,36.88759,-1.21124,bits,1998,199800
Kiambu Township,Kamukunji ndogo ndumberi,36.80509,-1.152071,bits,6082,608200
Kiambu Township,G-unit super store,36.841618,-1.172933,bits,4381,438100
Waithaka,Shawnlink Enterprises,36.723937,-1.282357,bits,3359,335900
Pipeline,Mutifudz Grain Limited (Pipeline),36.89484,-1.32215,bits,645,64500
Dandora Phase 4 & 5,Tragbo agencies mowlem,36.907156,-1.257765,bits,7105,710500
Mathare North,Chamka enterprise,36.870745,-1.253079,bits,7324,732400
Kayole,Safe Energy,36.918653,-1.274675,bits,6750,675000
Dandora Phase 4 & 5,Jummos shop,36.909601,-1.244575,bits,7961,796100
Ruai,Jossy Mini Matt,36.987655,-1.284383,bits,3708,370800
Mwiki,Wamsoo shop,36.92111,-1.23714,bits,3832,383200
Githurai 44,Precicot Limited,36.90318,-1.202168,bits,6686,668600
Kibera,New kibstan w/salers,36.785435,-1.308553,bits,5585,558500
Athi River,Blessed Gas Centre (Athi River),36.97751,-1.445829,bits,5817,581700
Eastleigh,Shell Bidii-EA,36.848602,-1.279231,bits,1341,134100
Kayole,Kayole Super Duka,36.915335,-1.27713,bits,2742,274200
Thika,LEVAPTRUZY HARDWARE,37.0584,-1.0417,bits,6286,628600
Kayole,Fastnet cyber,36.910146,-1.275927,bits,802,80200
Dandora Phase 1,Rehoboth Shop,36.894304,-1.260006,bits,1497,149700
Ruiru,Members shop,36.964638,-1.127753,bits,1034,103400
Gatina,Fair price cereals (gatina),36.758817,-1.274562,bits,9988,998800
Dandora Phase 4 & 5,Neema Cereals and Shop,36.907641,-1.242938,bits,649,64900
Pangani,Dimension investment,36.838569,-1.267324,bits,3756,375600
Roysambu/Mirema,Six Point One Mart,36.887691,-1.216092,bits,5078,507800
Pangani,Fresh juices and vegetables store(pangani),36.839609,-1.270314,bits,6214,621400
Dandora Phase 4 & 5,Novitech Shop,36.9031,-1.2457,bits,3759,375900
Eastleigh,Blessed Emelda Enterprises,36.851824,-1.267326,bits,2789,278900
Mlolongo,MG GAS AND ELECTRONICS,36.942436,-1.391338,bits,245,24500
Umoja Innercore and 1,Annma Cyber,36.88637,-1.292697,bits,397,39700
Ruaka/Denderu,Shosh general shop,36.760623,-1.178505,bits,2060,206000
Mwiki,Jadmas home decor,36.919232,-1.235815,bits,8509,850900
Imara Daima,Angaza Energy,36.885395,-1.323494,bits,6937,693700
Waithaka,Sauti fresh(Riruta),36.727135,-1.283665,bits,7513,751300
Kariobangi North,Silvapack investment,36.881449,-1.25822,bits,132,13200
Ruiru,Maina Gas,36.945948,-1.154285,bits,5862,586200
Eastleigh Section 3,Bancy general supplies,36.852554,-1.287239,bits,9459,945900
Juja,Truthtech Kinyozi,37.021877,-1.090692,bits,8107,810700
Ruaraka/Baba Dogo,Mikey Shop,36.883533,-1.247185,bits,3215,321500
Mathare North,Joy Gas (Mathare North),36.863132,-1.25431,bits,1475,147500
Ruai,Tripple J,36.99735,-1.270865,bits,8370,837000
Githurai 44,A.K Gas Dealers,36.913498,-1.202133,bits,8574,857400
Juja,Stemuck Enterprises,37.01159,-1.121403,bits,8464,846400
Kibera,Kakije Posho Mill,36.7815,-1.3088,bits,6994,699400
Dandora Phase 1,Innocent Shop,36.891345,-1.256646,bits,401,40100
"Embakasi (Fedha, Nyayo,Tasia)",Bahamas (B) Electronics,36.90016,-1.319926,bits,2648,264800
Huruma,Jennifer shop,36.87801,-1.261433,bits,8824,882400
Dandora Phase 1,Gateway Cereals Shop,36.889931,-1.258599,bits,5583,558300
Thika,Landmark Kinyozi,37.092036,-1.073217,bits,9922,992200
Gachie,Vision Gas,36.767117,-1.219856,bits,399,39900
Dandora Phase 1,Rescue Butchery,36.886841,-1.260556,bits,4857,485700
Kiserian,Corner Duka Kiserian,36.682962,-1.426364,bits,8667,866700
Kayole,Watailor classic collection,36.908417,-1.27944,bits,5027,502700
Ruaraka/Baba Dogo,Emmysam store,36.883077,-1.24916,bits,8051,805100
Kariobangi North,Kariobangi Memory Enterprise,36.88065,-1.255859,bits,6935,693500
Rongai,Bethsaida cereals and shop,36.749353,-1.394476,bits,1414,141400
Mwiki,Jasco Matt,36.920013,-1.224633,bits,5093,509300
Thika,Edymac electricals Nyacaba,37.055557,-1.098287,bits,7442,744200
Dagoretti Corner,EMCO Petrol Station,36.757211,-1.298115,bits,4696,469600
"Embakasi (Fedha, Nyayo,Tasia)",Alevic Chemist,36.88977,-1.30808,bits,8673,867300
Kayole,Sharks Agencies,36.916525,-1.272425,bits,1224,122400
Thika,Sabina Muthoni Shop Kibuto,37.053878,-1.073215,bits,6830,683000
"Embakasi (Fedha, Nyayo,Tasia)",Smart shop - Tassia,36.8925,-1.3107,bits,7226,722600
Syokimau,Rolcham Enterprises,36.925971,-1.366397,bits,3346,334600
Kasarani,Zam Chicks Outlet,36.871965,-1.230733,bits,7478,747800
Ngara,Dan General Shop,36.833756,-1.272609,bits,6810,681000
Kangemi,Teddy Care Chemist,36.750299,-1.267101,bits,9353,935300
Riruta Satellite,Hermes Dairy,36.738045,-1.29317,bits,7315,731500
Roysambu/Mirema,Mash gas point,36.893081,-1.206058,bits,1176,117600
Pangani,Hatron Elect (Pangani),36.837856,-1.26687,bits,8554,855400
Dandora Phase 1,Wekonze Enterprise,36.901425,-1.265704,bits,4132,413200
Kariobangi North,Digital Gas,36.883447,-1.255115,bits,1333,133300
Ruiru,Safi sacco,36.933376,-1.151615,bits,630,63000
Kawangware,Amazing Grace,36.75293,-1.283498,bits,3674,367400
Pipeline,Eddysam mini Selection,36.887867,-1.31018,bits,8652,865200
Thika,Abrazack Enterprises,37.105692,-1.060787,bits,2026,202600
Obama,Geoka Traders Cooking Gas,36.9229,-1.257599,bits,1014,101400
Obama,Chany's Butchery-EA,36.919028,-1.25789,bits,1729,172900
Kikuyu,"Mama Tony Shop,Kikuyu",36.674548,-1.211302,bits,6490,649000
Bahati,Creammart Holdings Limited,36.85509,-1.29175,bits,2471,247100
Zimmerman,Bethel Mini Mart (Zimmerman),36.89597,-1.2142,bits,7907,790700
Obama,Globelight Electricals,36.923173,-1.255101,bits,6181,618100
Obama,Macbest Supermarket,36.9289,-1.25488,bits,671,67100
Dandora Phase 4 & 5,Arizona shop Dandora,36.913433,-1.242042,bits,9130,913000
Juja,The Rock Butchery,37.020464,-1.092215,bits,2804,280400
Ruaka/Denderu,Reliance kerosene and Gas suppliers,36.755591,-1.177777,bits,1417,141700
Umoja 2 and 3,Nasra studio,36.899233,-1.276346,bits,31,3100
Kitengela,Wellspring Home Supplies,36.955218,-1.481081,bits,9397,939700
Huruma,DIGITAL FLAMES SUPERMARKET,36.86579,-1.2606,bits,1853,185300
Eastleigh,Umiema Small Supermarket,36.849037,-1.28111,bits,9671,967100
Limuru,Greenland Wholesalers & Distributors Limited,36.64293,-1.110504,bits,299,29900
Kitengela,MEAT MASTERS BUTCHERY,36.965362,-1.496945,bits,3180,318000
Juja,Beza,37.015117,-1.100796,bits,4284,428400
Kawangware,Wavickky shop kawangware,36.74511,-1.287553,bits,6015,601500
Obama,Edmac investment saika,36.916168,-1.256806,bits,5525,552500
Ruaka/Denderu,Spintec Cyber,36.778114,-1.193487,bits,5726,572600
Athi River,ULTASUBLIME CONCEPTS,36.980813,-1.428096,bits,2168,216800
Mlolongo,Mg Shop 2,36.94151,-1.390622,bits,7475,747500
Thika,Masters Seeds Shop,37.125805,-1.065673,bits,3409,340900
Kiambu Township,Shianne Cereals,36.839205,-1.202292,bits,2518,251800
Kibera,Faraji gas supplies,36.775046,-1.312088,bits,5857,585700
Kawangware,Maisha Hardware (Kawangware),36.75185,-1.288882,bits,4691,469100
Kayole,Trinity shop,36.922629,-1.256691,bits,278,27800
Kiambiu,Oryx Shop Kiambiu,36.866184,-1.281909,bits,740,74000
Huruma,MERCY HURUMA GAS POINT,36.875327,-1.257804,bits,4297,429700
Kahawa,Metromart Limited,36.931943,-1.191283,bits,6346,634600
Kayole,Kenmar shoes and textiles,36.9253,-1.2623,bits,2264,226400
Waithaka,Wakanyire supermarket,36.722922,-1.281996,bits,738,73800
Mlango Kubwa,Options Investments,36.844119,-1.265183,bits,384,38400
Kiambu Township,Zamursky wa Eddy's shop,36.829202,-1.168662,bits,3734,373400
Rongai,Terrazzo Palace,36.744416,-1.396432,bits,4716,471600
Ruaraka/Baba Dogo,Wall Solution Energy Agency,36.880218,-1.241189,bits,9894,989400
Githurai 44,Kamukunji Traders,36.900351,-1.200825,bits,8839,883900
Kasarani,KEJACK SHOP- Maternity,36.912959,-1.221507,bits,6368,636800
Dandora Phase 1,Karia Supermarket 2,36.8895,-1.2594,bits,8568,856800
Kiambiu,Rollon Enterprises Kiambiu,36.864531,-1.28202,bits,4390,439000
